,specialStudents_girls,cursosComunitarios,workingComputers,meanAge_4,meanAge_1,meanAge_2,numberCT,totalBoys,brokenWC,classSize_6,wallMaterial,computerGov,classSize_4,v_phoneService,totalWC,meanAge_3,margina,totalGirls,p_mat_std,cct
171,0.0,1.0,100.6,10.333333,6.0,7.416666499999999,1,4.875,0.33333334,3.3333333,0.89999998,0.05,4.1999998,0,3.0,8.416667,2,1.875,-1.2698118999999999,04KPR0603U
172,0.0,1.0,0.7,9.625,6.5357141,7.6428571,2,4.0,201.45,2.0,0.40000001,0.1,5.5,0,0.0,9.083333,1,3.125,-1.116784,04KPR0607Q
173,0.0,1.0,150.10476190490002,9.458333,6.0,7.0,2,1.875,1.0,2.0,0.89999998,0.2,3.8,0,2.0,8.4499998,1,4.0,-1.7605417,04KPR0610D
174,0.0,1.0,0.566666669,9.75,6.0833335,7.388888799999999,1,3.75,1.0,4.1666665,0.89999998,0.200000007,4.5,0,2.0,8.979167,2,5.375,-0.68611562,04KPR0613A
175,0.0,1.0,0.0,10.133333,6.3035712,7.3125,2,8.0,1.5,5.4000001,0.89999998,0.0,7.714285899999999,0,2.0,9.1875,2,7.625,-0.92739761,04KPR0618W
176,0.0,1.0,699.45,9.25,6.0,7.0,2,1.5,1.0,4.0,0.40000001,0.3,4.5,0,1.0,8.5,2,1.1666666,0.30502787,04KPR0623H
177,0.0,1.0,100.8,8.5,6.1999998,7.25,2,2.0,1.5,3.0,0.89999998,0.1,2.5,0,2.0,8.0,1,1.6666666,0.57292134,04KPR0631Q
178,0.0,1.0,300.2,10.25,6.833333500000001,8.25,2,1.2,100.4,4.03333333,0.40000001,0.5,4.5,0,0.0,8.5,2,3.2,-0.047329169000000004,04KPR0633O
179,0.0,1.0,100.35,9.666667,6.3333335,7.5,1,1.6,2.0,3.0,0.89999998,0.0,3.3333333,0,2.0,8.5,2,2.0,0.37171656,04KPR0634N
180,0.0,1.0,0.3,9.75,6.625,7.833333500000001,2,4.8000002,2.0,3.6133333800000003,0.89999998,0.5,9.5,0,2.0,8.666667,1,4.0,-1.2830732,04KPR0636L
181,0.0,1.0,0.85,10.041667,6.865000200000001,7.387619,2,11.2,300.8,2.8,0.40000001,0.4,8.75,0,0.0,9.253333099999999,1,7.400000099999999,-0.58814114,04KPR0637K
182,0.0,1.0,300.2,10.4,6.4166665,7.599999900000001,2,4.0,1.5,2.0,0.89999998,0.0,6.666666499999999,0,0.0,8.2222223,2,3.4000001,-0.029996863999999998,04KPR0638J
183,0.0,1.0,0.8,9.5,7.0666666,8.3999996,3,11.333333,0.5,10.0,0.40000001,0.0,12.333333,0,0.0,8.7238092,2,9.333333,0.45038345,04KPR0645T
184,0.0,1.0,0.6,8.6916667,6.0,7.5,2,1.0,301.35,2.03333333,0.40000001,0.0,2.45,0,0.0,9.0,3,1.0,-1.0897981,04KPR0646S
185,0.0,1.0,300.15,10.0,7.0,8.0,2,2.0,51.8,3.13333334,0.40000001,0.066666669,2.0,0,0.0,9.0,2,0.0,-0.52026123,04KPR0648Q
186,0.0,1.0,0.8,9.47166652,7.2999997,9.166666000000001,2,4.5,450.85,4.0,0.40000001,0.0,2.0,0,0.0,9.25,2,6.0,-1.6638091,04KPR0649P
187,0.0,1.0,0.5,10.0,6.0,7.5,2,7.5,4.0,7.5,0.40000001,0.266666669,10.0,0,1.0,9.666666000000001,1,11.0,-0.19500574,04KPR0651D
188,0.0,1.0,300.15,9.0,8.5,7.833333500000001,2,13.0,1000.2,6.0,0.40000001,0.0,9.0,0,0.0,11.0,1,11.0,-1.3588622,04KPR0653B
189,0.0,1.0,0.15,9.581388700000002,7.400000099999999,11.0,2,7.0,1000.25,3.0,0.40000001,0.0,3.98333333,0,0.0,7.975892880000001,1,2.0,-0.88810617,04KPR0655Z
190,0.0,1.0,100.8,9.06301584,6.0,8.0,2,5.0,4.0,6.0,0.40000001,0.3,4.98095236,0,2.0,8.666667,1,5.0,-1.3986459,04KPR0656Z
191,0.0,1.0,699.4,9.5,6.9333334,8.666667,1,4.5,400.7,3.0,0.8599999820000003,0.0,4.5,0,1.3,10.0,3,2.75,0.31230143,05KCA0004U
192,0.0,1.0,200.6,9.5,6.5,7.333333500000001,1,1.0,1449.7,2.25000001,0.8299999820000001,1.2,2.0,0,1.2,9.0,3,2.6666667,1.3552825000000002,05KCA0007R
193,0.0,1.0,1.0,9.125,6.25,7.0,2,4.4000001,200.65,6.3333335,0.89999998,0.0,5.0,0,0.0,8.0,2,4.4000001,-0.87055087,05KPR0015D
194,0.0,1.0,500.0,9.0,6.266666900000001,7.166666499999999,2,3.125,1.0,2.8333333,0.89999998,0.05,2.8333333,0,3.0,8.5,2,3.25,0.17893900000000001,05KPR0018A
195,0.0,1.0,100.8,9.4499998,6.242857,7.5416669999999995,2,11.6,0.0,6.5,0.89999998,0.0,10.5,0,2.0,8.7742853,3,8.3999996,-0.77379662,05KPR0022N
196,0.0,1.0,0.333333338,9.833333,6.4285717,7.666666499999999,2,6.0,0.0,3.0,0.89999998,0.0,7.0,0,2.0,10.0,2,8.0,0.42991829,05KPR0041B
197,0.0,1.0,300.1,8.666667,5.8666668,7.125,2,2.875,1249.8,4.0,0.89999998,0.0,3.6666667,0,0.0,8.25,3,2.5,-0.21009666,05KPR0053G
198,0.0,1.0,100.75,8.75,6.0666666,7.0,2,4.25,1.0,3.5,0.89999998,0.45,3.75,1,2.0,8.199999799999999,2,2.5,-0.82387924,05KPR0068I
199,0.0,1.0,0.5714285808999999,9.5,6.0416665,8.125,2,2.5,1.95,3.3333333,0.89999998,0.380000001,3.0,0,0.0,8.25,1,4.125,-1.2239494,05KPR0071W
200,0.0,1.0,0.45,9.2333336,6.1999998,7.1999998,2,2.5,1.0,4.0,0.89999998,0.05,3.6666667,0,2.0,7.666666499999999,3,3.75,-0.37926185,05KPR0079O
