,cistern,workingComputers,directivesTeachers,classSize_5,roomQuality,mt_readTeachers,carrMagisterial,meanAge_2,classSize_6,students1,nivelCarrMagis,sexRatio_students,mt_speakStaff,meanAge_3,classSize_prim,graduateTeachers,margina,mt_readStaff,totalGirls,totalTeachers,preschoolAttendance,disabilitiesStudents,extraFacilities,safety,p_mat_std,cct
2837,0.0,0.71428573,1.0,8.625,1.8,1.0,0.0,6.908680400000001,8.0,10.75,0.0,0.072306186,0.5,8.140277900000001,9.395833,0.0,1,0.5,31.625,1.0,0.95017481,0.0,3,5,-0.80416411,21DPB0035Y
2838,0.0,1.0,1.0,2.8571429,1.6,0.0,0.0,7.166666499999999,2.6666667,3.375,0.0,0.29270834,0.0,8.318367,2.6666667,0.8,2,0.0,5.75,0.0,0.87755102,0.0,1,3,-0.96143472,21DPB0036X
2839,0.0,0.25,1.0,13.625,1.4,1.0,0.0,6.9896383,11.75,19.0,0.0,0.097586714,0.41666666,8.1330042,16.083334,0.16666667,1,0.41666666,41.5,0.75,0.625,0.0,1,5,0.7071684,21DPB0037W
2840,1.0,1.0,0.0,27.5,1.4,0.657197,0.20112179,7.3126411,26.375,51.875,0.24919872,0.078583732,0.71875,8.4579811,28.791665999999996,0.39678031,1,0.60336542,147.0,11.375,0.57860553,0.0057738065,5,9,-0.072135195,21DPB0038V
2841,0.0,0.0,1.0,4.625,2.0,1.0,0.75,7.4395833,5.125,3.625,2.25,0.14730756,0.25,8.6125002,4.1666665,1.0,2,0.25,11.625,0.5,0.875,0.02035985,1,7,0.22759432,21DPB0039U
2842,0.0,0.506666667,1.0,7.375,1.8,1.0,0.75,7.1029716,6.25,7.125,0.75,0.08394455199999999,0.25,8.2474012,7.458333500000001,1.0,1,0.25,24.75,0.5,0.70034724,0.0025510204,1,3,-1.1032531,21DPB0040J
2843,0.0,1.0,1.0,2.75,1.8,0.0,0.0,7.354166499999999,3.125,3.625,0.0,0.20592533,0.0,8.8000002,3.1944444,0.083333331,1,0.0,9.5,0.0,0.44444445,0.0,1,0,-1.5126712,21DPB0042H
2844,0.0,0.33333334,1.0,4.375,1.4,0.0,0.0,7.229166499999999,3.75,4.5,0.0,0.11591881,0.0,8.6270828,4.619047599999999,0.5266666709999999,2,0.0,13.75,0.0,0.50714284,0.024318273999999997,1,7,-1.5028993999999998,21DPB0043G
2845,1.0,0.66666669,1.0,11.375,1.6,1.0,0.33333334,6.9169965,11.125,9.25,0.33333334,0.11204774,0.66666669,8.243380499999999,10.395833,0.6875,2,0.66666669,32.25,2.0,0.98750001,0.019724162,2,6,-1.1389955,21DPB0044F
2846,0.0,0.33333334,1.0,4.75,1.5,0.0,0.125,6.8662205,4.5,5.875,0.5,0.11772645,0.0,7.8457341,5.4375,0.475669643,1,0.0,19.25,0.0,1.0,0.003125,0,6,-0.98113006,21DPB0045E
2847,0.0,0.0,1.0,6.375,1.4,1.0,0.125,6.9236607999999995,6.25,6.0,0.125,0.12166235,0.4375,7.9946427,6.4791665,0.0,2,0.4375,18.75,0.875,0.9151786,0.0,1,3,-1.1505258999999999,21DPB0046D
2848,0.0,0.0,1.0,12.5,2.0,1.0,0.0,7.822304700000001,10.875,23.875,0.0,0.099957511,0.5,9.0551834,17.520834,0.375,1,0.5,50.875,1.0,0.046875,0.0,0,4,-0.57256877,21DPB0047C
2849,0.0,0.0,1.0,15.5,1.4,1.0,0.125,7.0659466,14.25,12.125,0.125,0.12641107,0.66666669,8.2937555,14.0625,0.1875,1,0.66666669,43.125,2.0,0.93773139,0.0,2,2,-0.88463223,21DPB0048B
2850,1.0,1.0,1.0,4.0,1.2,1.0,0.0625,7.177083500000001,3.5,3.0,0.25,0.31628788,0.0625,8.364583,3.7619046999999997,1.0,2,0.0625,8.375,0.125,0.73809522,0.0,0,2,-1.1266618,21DPB0049A
2851,0.0,0.5,1.0,3.625,1.4,0.0,0.0,7.233673599999999,2.625,3.75,0.0,0.19588295,0.0,8.2693882,3.2083333,0.140000001,2,0.0,7.25,0.0,0.83333331,0.025781848,2,4,-1.43935,21DPB0050Q
2852,0.0,0.33333334,1.0,3.25,1.4,0.0,0.0,7.5583334,3.25,2.875,0.0,0.20261510000000002,0.0,8.9333334,3.25,0.325,2,0.0,10.25,0.0,0.041666668,0.0062500001,1,4,-1.0391046999999998,21DPB0053N
2853,0.0,0.66666669,1.0,11.125,1.4,1.0,0.66666669,7.0276117,10.5,12.875,1.3333334,0.083807163,0.66666669,8.321068799999999,11.854167,0.875,2,0.66666669,37.25,2.0,0.93431371,0.0036288640000000003,2,7,-0.75420982,21DPB0054M
2854,1.0,0.5714286,1.0,6.25,1.8,1.0,0.0,7.002976400000001,4.875,5.75,0.0,0.18597689,0.0625,8.239583,5.7291665,1.0,2,0.0625,16.375,0.125,0.83437502,0.0,4,6,-1.0646927,21DPB0055L
