Total,cct
36.0,07DPB3256J
27.0,30DPB1233M
27.0,30DPB1286R
23.0,07EPB0159M
22.0,20DPB0494K
21.0,12DPB0369D
18.0,07EPB0466T
16.0,12DPB0240Z
15.0,30DPB0058Q
14.0,07EPB0157O
14.0,12DPB1220T
14.0,07EPB0030I
14.0,07EPB0523U
14.0,20DPB2295Z
13.0,07EPB0116O
13.0,07DPB2391H
13.0,21DPB0552J
13.0,12DPB0694Z
12.0,12DPB0366G
12.0,20DPB1895M
12.0,12DPB0215A
12.0,30DPB0048J
12.0,07EPB0306F
12.0,12DPB0169F
11.0,07EPB0774Z
11.0,07EPB0122Z
11.0,12DPB0780W
10.0,07EPB0456M
10.0,12DPB1043F
10.0,30DPB1144T
10.0,12DPB0217Z
10.0,07EPB0819E
10.0,12DPB0734K
9.0,12DPB0743S
9.0,12DPB1079U
9.0,30DPB0903E
9.0,07DPB2407S
9.0,20DPB0861P
9.0,07DPB2292H
8.0,07DPB3171C
8.0,20DPB2028C
8.0,07EPB0460Z
8.0,07EPB0268T
8.0,12DPB1028N
8.0,12DPB0304U
7.0,07DPB3199I
7.0,12DPB0113D
7.0,12DPB0459W
7.0,10DPB0248U
7.0,07DPB2457Z
7.0,21DPB0239S
6.0,30DPB0867Q
6.0,20DPB2260J
6.0,12DPB0209Q
6.0,21DPB0658C
5.0,12DPB0361L
5.0,20DPB1916I
5.0,07EPB0052U
5.0,07EPB0024Y
5.0,21DPB0894F
5.0,12DPB0210F
5.0,21DPB0842Z
4.0,20DPB1583K
4.0,07DPB2172V
4.0,07EPB0190W
4.0,18DPB0078I
4.0,12DPB1055K
4.0,12DPB0758U
4.0,12DPB0695Z
4.0,07EPB0741H
4.0,21DPB0738O
4.0,24DPB0396F
4.0,12DPB1234W
3.0,07DPB3106C
3.0,21DPB0912E
3.0,07EPB0815I
3.0,07EPB0272F
3.0,12DPB0722F
2.0,12DPB0277N
2.0,07DPB2249T
2.0,07EPB0062A
2.0,20DPB0030D
2.0,21DPB0047C
2.0,12DPB0452C
2.0,21DPB0622O
2.0,07EPB0796K
2.0,21DPB0829F
2.0,30DPB0982H
2.0,07EPB0375B
2.0,18DPB0238F
1.0,30DPB1278I
1.0,12DPB0464H
1.0,18DPB0021H
1.0,07EPB0162Z
1.0,20DPB2027D
1.0,20DPB1496P
1.0,07EPB0867O
1.0,12DPB0301X
1.0,30DPB1279H
1.0,20DPB0366P
1.0,30DPB0802G
0.0,20DPB1777Y
0.0,20DPB2043V
0.0,07EPB0829L
0.0,07EPB0873Z
0.0,07EPB0005J
0.0,24DPB0400B
0.0,20DPB2245R
0.0,30DPB1091E
0.0,12DPB0948L
0.0,12DPB0365H
0.0,21DPB0280I
0.0,12DPB0429B
0.0,12DPB0858T
0.0,07EPB0543H
0.0,30DPB1287Q
-1.0,07EPB0185K
-1.0,07EPB0115P
-1.0,12DPB1199G
-1.0,07DPB3100I
-1.0,12DPB0729Z
-1.0,07DPB2208T
-1.0,07DPB2618W
-1.0,12DPB0363J
-1.0,18DPB0061I
-1.0,07EPB0273E
-1.0,07EPB0759G
-1.0,12DPB0952Y
-1.0,20DPB2133N
-1.0,12DPB0431Q
-1.0,21DPB0555G
-1.0,10DPB0236P
-1.0,20DPB0596H
-1.0,30DPB0439Y
-1.0,20DPB1554P
-1.0,07EPB0498L
-1.0,07EPB0415M
-1.0,21DPB0042H
-1.0,07DPB1377H
-1.0,07EPB0381M
-1.0,30DPB0819G
-1.0,14DPB0046U
-1.0,07DPB0644G
-2.0,12DPB1208Y
-2.0,07DPB2549Q
-2.0,12DPB0300Y
-2.0,12DPB0208R
-2.0,30DPB0108H
-2.0,20DPB2227B
-2.0,18DPB0052A
-2.0,30DPB0109G
-2.0,24DPB0406W
-2.0,12DPB1243D
-2.0,20DPB2172P
-2.0,12DPB0140A
-2.0,21DPB0155K
-2.0,07EPB0048H
-2.0,07EPB0414N
-2.0,12DPB0609M
-2.0,07DPB1013Z
-2.0,07EPB0446F
-2.0,20DPB0963M
-2.0,20DPB0864M
-2.0,07EPB0055R
-2.0,14DPB0034P
-2.0,07EPB0045K
-2.0,12DPB0434N
-2.0,07EPB0029T
-3.0,12DPB0148T
-3.0,10DPB0243Z
-3.0,20DPB2084V
-3.0,20DPB0309Y
-3.0,20DPB2292B
-3.0,12DPB0249R
-3.0,21DPB0907T
-3.0,12DPB0295C
-3.0,07EPB0441K
-3.0,07EPB0120A
-3.0,30DPB1017X
-3.0,07EPB0738U
-3.0,07EPB0243K
-3.0,12DPB0124J
-3.0,20DPB1715L
-3.0,20DPB1392U
-3.0,13DPB0528A
-3.0,30DPB0415O
-3.0,12DPB0772N
-3.0,30DPB0347H
-3.0,12DPB0994X
-3.0,14DPB0102W
-3.0,20DPB1713N
-3.0,20DPB1813M
-3.0,12DPB1136V
-3.0,30DPB0167X
-3.0,30DPB0196S
-4.0,12DPB0808L
-4.0,12DPB0890B
-4.0,12DPB1233X
-4.0,07DPB2121O
-4.0,07DPB2124L
-4.0,07EPB0624S
-4.0,12DPB1166P
-4.0,20DPB1708B
-4.0,07DPB2555A
-4.0,20DPB2235K
-4.0,12DPB0077P
-4.0,07EPB0150V
-4.0,07EPB0479X
-4.0,30DPB1004T
-4.0,07EPB0109E
-4.0,30DPB0542K
-4.0,18DPB0054Z
-4.0,12DPB0760I
-4.0,20DPB1874Z
-4.0,12DPB0334O
-4.0,12DPB0966A
-4.0,12DPB1218E
-4.0,07EPB0328R
-4.0,30DPB1248O
-4.0,12DPB0288T
-4.0,20DPB0336V
-4.0,07DPB3079W
-4.0,20DPB2220I
-4.0,10DPB0239M
-4.0,20DPB1154T
-5.0,12DPB0344V
-5.0,07EPB0203J
-5.0,12DPB1105B
-5.0,21DPB0817A
-5.0,30DPB1245R
-5.0,20DPB0874T
-5.0,07EPB0304H
-5.0,30DPB1023H
-5.0,12DPB0789N
-5.0,21DPB0599D
-5.0,20DPB2045T
-5.0,11EPB0001Z
-5.0,07EPB0298N
-5.0,20DPB0106C
-5.0,20DPB0593K
-5.0,20DPB0965K
-5.0,18DPB0237G
-5.0,30DPB1272O
-5.0,12DPB0147U
-5.0,18DPB0067C
-5.0,12DPB0457Y
-5.0,20DPB1485J
-5.0,30DPB0536Z
-5.0,12DPB1195K
-5.0,18DPB0203Q
-5.0,20DPB2095A
-5.0,12DPB0757V
-5.0,07DPB2370V
-6.0,13DPB2713K
-6.0,21DPB0815C
-6.0,07EPB0240N
-6.0,12DPB1038U
-6.0,20DPB1795N
-6.0,18DPB0028A
-6.0,07EPB0803D
-6.0,21DPB0674U
-6.0,12DPB1223Q
-6.0,12DPB0698W
-6.0,21DPB0860P
-6.0,12DPB1219D
-6.0,12DPB0146V
-6.0,20DPB2194A
-6.0,07EPB0325U
-6.0,08DPB0157O
-6.0,20DPB0485C
-6.0,30DPB0922T
-6.0,07EPB0369R
-6.0,20DPB0677S
-6.0,07EPB0191V
-6.0,07EPB0758H
-6.0,07EPB0800G
-6.0,30DPB0181Q
-6.0,02DPB0084S
-6.0,21DPB0872U
-6.0,30DPB1008P
-6.0,20DPB2244S
-6.0,07EPB0023Z
-6.0,20DPB1178C
-6.0,21DPB0843Z
-6.0,30DPB1219T
-6.0,30DPB1087S
-6.0,30DPB0120C
-6.0,07EPB0182N
-6.0,18DPB0002T
-6.0,14DPB0053D
-6.0,20DPB1567T
-6.0,12DPB0882T
-6.0,30DPB0425V
-6.0,12DPB0745Q
-7.0,07EPB0579W
-7.0,08DPB0045K
-7.0,07EPB0630C
-7.0,30DPB1170R
-7.0,20DPB2174N
