Total,cct
4.0,01PPR0020O
2.0,01PPR0095E
2.0,01PPR0056C
1.0,01PPR0001Z
1.0,01PPR0023L
0.0,01PPR0077P
0.0,01PPR0024K
-1.0,01PPR0119Y
-1.0,01PPR0105V
-1.0,01PPR0082A
-1.0,01PPR0060P
-1.0,01PPR0021N
-1.0,01PPR0072U
-2.0,01PPR0025J
-3.0,01PPR0013E
-4.0,01PPR0122L
-4.0,01PPR0068H
-5.0,01PPR0070W
-6.0,01PPR0062N
-6.0,01PPR0097C
-6.0,01PPR0117Z
-7.0,01PPR0116A
-7.0,01PPR0026I
-8.0,01PPR0003Y
-8.0,01PPR0037O
-8.0,01PPR0015C
-8.0,01PPR0012F
-9.0,01PPR0033S
-10.0,01PPR0049T
-10.0,01PPR0087W
-10.0,01PPR0094F
-10.0,01PPR0134Q
-10.0,01PPR0103X
-10.0,01PPR0126H
-11.0,01PPR0125I
-11.0,01PPR0034R
-12.0,01PPR0133R
-12.0,01PPR0100Z
-12.0,01PPR0090J
-12.0,01PPR0109R
-12.0,01PPR0076Q
-12.0,01PPR0121M
-12.0,01PPR0018Z
-13.0,01PPR0044Y
-14.0,01PPR0085Y
-14.0,01PPR0006V
-14.0,01PPR0027H
-14.0,01PPR0050I
-14.0,01PPR0045X
-14.0,01PPR0078O
-14.0,01PPR0079N
-14.0,01PPR0017A
-14.0,01PPR0102Y
-15.0,01PPR0118Z
-16.0,01PPR0067I
-16.0,01PPR0008T
-16.0,01PPR0120N
-16.0,01PPR0123K
-17.0,01PPR0096D
-17.0,01PPR0099A
-18.0,01PPR0005W
-18.0,01PPR0098B
-18.0,01PPR0031U
-18.0,01PPR0069G
-19.0,01PPR0091I
-19.0,01PPR0065K
-19.0,01PPR0101Z
-19.0,01PPR0089U
-19.0,01PPR0088V
-19.0,01PPR0104W
-19.0,01PPR0014D
-20.0,01PPR0057B
-20.0,01PPR0112E
-20.0,01PPR0040B
-21.0,01PPR0086X
-21.0,01PPR0106U
-21.0,01PPR0054E
-22.0,01PPR0030V
-22.0,01PPR0035Q
-22.0,01PPR0083Z
-22.0,01PPR0039M
-23.0,01PPR0132S
-23.0,01PPR0009S
-24.0,01PPR0043Z
-24.0,01PPR0047V
-26.0,01PPR0124J
-26.0,01PPR0075R
-27.0,01PPR0036P
-27.0,01PPR0051H
-29.0,01PPR0093G
