Total,cct
3.0,01DPR0431L
3.0,01DPR0715R
3.0,01DPR0171P
3.0,01DPR0200U
3.0,01DPR0240V
3.0,01DPR0243S
3.0,01DPR0250B
3.0,01DPR0712U
3.0,01DPR0359S
3.0,01DPR0387O
3.0,01DPR0342S
2.0,01DPR0220H
2.0,01DPR0044T
2.0,01DPR0398U
2.0,01DPR0441S
2.0,01DPR0245Q
2.0,01DPR0040X
2.0,01DPR0711V
2.0,01DPR0630K
2.0,01DPR0380V
2.0,01DPR0521D
2.0,01DPR0540S
2.0,01DPR0188P
2.0,01DPR0538D
2.0,01DPR0070R
2.0,01DPR0110B
2.0,01DPR0069B
1.0,01DPR0251A
1.0,01DPR0424B
1.0,01DPR0330N
1.0,01DPR0418R
1.0,01DPR0255X
1.0,01DPR0259T
1.0,01DPR0442R
1.0,01DPR0514U
1.0,01DPR0317T
1.0,01DPR0456U
1.0,01DPR0627X
1.0,01DPR0288O
1.0,01DPR0300T
1.0,01DPR0301S
1.0,01DPR0572K
0.0,01DPR0439D
0.0,01DPR0334J
0.0,01DPR0136J
0.0,01DPR0420F
0.0,01DPR0152A
0.0,01DPR0315V
0.0,01DPR0099W
0.0,01DPR0235J
0.0,01DPR0285R
0.0,01DPR0372M
0.0,01DPR0707I
0.0,01DPR0257V
0.0,01DPR0556T
0.0,01DPR0331M
-1.0,01DPR0349L
-1.0,01DPR0470N
-1.0,01DPR0664A
-1.0,01DPR0507K
-1.0,01DPR0444P
-1.0,01DPR0261H
-1.0,01DPR0217U
-1.0,01DPR0386P
-1.0,01DPR0522C
-1.0,01DPR0101U
-1.0,01DPR0064G
-1.0,01DPR0229Z
-1.0,01DPR0634G
-1.0,01DPR0658Q
-1.0,01DPR0660E
-2.0,01DPR0234K
-2.0,01DPR0460G
-2.0,01DPR0106P
-2.0,01DPR0108N
-2.0,01DPR0381U
-2.0,01DPR0198W
-2.0,01DPR0425A
-2.0,01DPR0388N
-2.0,01DPR0269Z
-2.0,01DPR0677E
-2.0,01DPR0399T
-2.0,01DPR0438E
-2.0,01DPR0338F
-2.0,01DPR0622B
-2.0,01DPR0058W
-2.0,01DPR0520E
-2.0,01DPR0621C
-3.0,01DPR0287P
-3.0,01DPR0553W
-3.0,01DPR0061J
-3.0,01DPR0022H
-3.0,01DPR0419Q
-3.0,01DPR0358T
-3.0,01DPR0082W
-3.0,01DPR0578E
-3.0,01DPR0336H
-3.0,01DPR0230O
-4.0,01DPR0426Z
-4.0,01DPR0695U
-4.0,01DPR0141V
