Total,cct
6.0,12PPR0178T
6.0,13PPR0312H
6.0,17PPR0296C
6.0,11PPR0039T
6.0,15PPR2602J
6.0,15PPR2807C
6.0,17PPR0248T
6.0,21PPR0794M
6.0,21PPR1083U
6.0,16PPR0318Z
6.0,24PPR0375Z
6.0,03PPR0064J
6.0,19PPR0969X
6.0,16PPR0002A
6.0,19PPR0903O
6.0,27PPR0023T
6.0,27PPR0123S
6.0,21PPR1111Z
6.0,23PPR0144I
6.0,16PPR0164M
6.0,30PPR3466V
6.0,09PPR1543T
6.0,08PPR2082H
6.0,20PPR0063A
6.0,24PPR0002J
5.0,26PPR0268O
5.0,11PPR0064S
5.0,30PPR3602I
5.0,22PPR0237Z
5.0,11PPR0855C
5.0,14PPR0244Z
5.0,14PPR1591O
5.0,15PPR2871D
5.0,11PPR0895D
5.0,27PPR0078W
5.0,15PPR3295Z
5.0,14PPR1136Z
5.0,13PPR0311I
5.0,29PPR0164Q
5.0,26PPR0255K
5.0,19PPR0874J
5.0,09PPR0743K
5.0,16PPR0418Y
5.0,11PPR0923J
5.0,15PPR2586I
5.0,06PPR0062I
5.0,09PPR0324Z
5.0,21PPR0608A
5.0,09PPR1310D
5.0,15PPR2255S
5.0,11PPR0323P
5.0,11PPR0669H
5.0,19PPR0366F
5.0,22PPR0002L
4.0,05PPR0018W
4.0,08PPR0047O
4.0,02PPR0013D
4.0,27PPR0114K
4.0,26PPR0271B
4.0,09PPR1722E
4.0,11PPR1034E
4.0,23PPR0136Z
4.0,15PPR3294A
4.0,16PPR0005Y
4.0,22PPR0188G
4.0,16PPR0398A
4.0,30PPR6379U
4.0,15PPR3720E
4.0,08PPR1888N
4.0,12PPR0373W
4.0,14PPR0086A
4.0,14PPR1259I
4.0,14PPR1220X
4.0,15PPR3256Y
4.0,16PPR0422K
4.0,16PPR0284Z
4.0,16PPR0107V
4.0,21PPR1008N
4.0,15PPR3498V
4.0,16PPR0181C
4.0,16PPR0381A
4.0,23PPR0133C
4.0,11PPR0626J
4.0,11PPR0098I
4.0,11PPR1013S
4.0,24PPR0383H
4.0,30PPR0605L
4.0,21PPR0926N
4.0,28PPR0063T
4.0,19PPR0922C
4.0,27PPR0027P
4.0,11PPR0196J
4.0,11PPR1043M
4.0,21PPR1132M
3.0,15PPR3625A
3.0,28PPR0336T
3.0,14PPR1453M
3.0,16PPR0017C
3.0,21PPR1044S
3.0,16PPR0021P
3.0,29PPR0095K
3.0,08PPR1789N
3.0,14PPR0032X
3.0,16PPR0092J
3.0,14PPR1078Z
3.0,09PPR1751Z
3.0,26PPR0020X
3.0,30PPR6384F
3.0,09PPR1776I
3.0,22PPR0215N
3.0,31PPR0276I
3.0,21PPR1000V
3.0,16PPR0129G
3.0,19PPR0920E
3.0,02PPR0384V
3.0,15PPR3320I
3.0,15PPR2927P
3.0,02PPR0078N
3.0,21PPR0925O
3.0,11PPR0917Z
3.0,21PPR1094Z
3.0,16PPR0358Z
3.0,15PPR3759Q
3.0,27PPR0115J
3.0,21PPR0588D
3.0,31PPR0360G
3.0,24PPR0255M
3.0,15PPR3327B
3.0,02PPR0162L
3.0,15PPR1048D
3.0,29PPR0112K
3.0,27PPR0005D
3.0,21PPR0895K
2.0,15PPR2804F
2.0,11PPR0887V
2.0,17PPR0393E
2.0,11PPR0289Z
2.0,14PPR0452G
2.0,14PPR0287Y
2.0,17PPR0214C
2.0,26PPR0043H
2.0,11PPR0928E
2.0,07PPR0171O
2.0,24PPR0347C
2.0,19PPR0914U
2.0,21PPR1108M
2.0,08PPR0028Z
2.0,14PPR0084C
2.0,21PPR0597L
2.0,08PPR2001G
2.0,25PPR0150R
2.0,14PPR0172X
2.0,15PPR2681M
2.0,17PPR0155D
2.0,23PPR0053R
2.0,15PPR3505O
2.0,02PPR0064K
2.0,09PPR1458W
2.0,16PPR0009U
2.0,09PPR1619S
2.0,09PPR1772M
2.0,31PPR0240U
2.0,09PPR1820F
2.0,16PPR0085Z
2.0,16PPR0293G
2.0,16PPR0053H
2.0,16PPR0089W
1.0,26PPR0181J
1.0,07PPR0452X
1.0,16PPR0168I
1.0,28PPR0320S
1.0,16PPR0038P
1.0,08PPR2076X
1.0,11PPR1037B
1.0,31PPR0220G
1.0,15PPR2776Z
1.0,21PPR1081W
1.0,15PPR0012I
1.0,08PPR0530J
1.0,18PPR0033S
1.0,23PPR0113P
1.0,09PPR1781U
1.0,16PPR0156D
1.0,19PPR0963C
1.0,02PPR0406Q
1.0,21PPR0776X
1.0,27PPR0081J
1.0,16PPR0371U
1.0,13PPR0017F
1.0,11PPR1022Z
1.0,28PPR0134X
1.0,19PPR0119X
1.0,09PPR1742S
0.0,28PPR0333W
0.0,05PPR0357V
0.0,17PPR0237N
0.0,29PPR0031Z
0.0,02PPR0168F
0.0,17PPR0232S
0.0,07PPR0012Z
0.0,15PPR3671M
0.0,11PPR0568J
0.0,13PPR0226L
0.0,29PPR0178T
0.0,15PPR3729W
0.0,21PPR0590S
0.0,11PPR0998Z
0.0,24PPR0341I
0.0,21PPR0286I
0.0,09PPR0124B
0.0,12PPR0409U
0.0,16PPR0255D
0.0,15PPR3428Z
0.0,30PPR3564W
0.0,23PPR0078Z
0.0,30PPR3551S
0.0,30PPR3548E
0.0,19PPR0895W
0.0,16PPR0220O
0.0,30PPR3457N
0.0,13PPR0154I
0.0,15PPR3433L
0.0,15PPR2742J
0.0,02PPR0190H
0.0,11PPR0871U
0.0,11PPR1032G
0.0,11PPR0709S
0.0,15PPR3447O
0.0,11PPR0197I
0.0,29PPR0030A
0.0,08PPR1825B
0.0,15PPR3302T
0.0,21PPR0805B
0.0,23PPR0158L
0.0,16PPR0162O
0.0,08PPR2014K
0.0,20PPR0021B
0.0,29PPR0111L
0.0,08PPR0014X
0.0,15PPR3765A
-1.0,25PPR0136Y
-1.0,21PPR0957G
-1.0,21PPR0117N
-1.0,15PPR2875Z
-1.0,14PPR0446W
-1.0,30PPR0013Z
-1.0,07PPR0478E
-1.0,16PPR0404V
-1.0,02PPR0393C
-1.0,16PPR0201Z
-1.0,05PPR0115Y
-1.0,15PPR3396Y
-1.0,20PPR0070K
-1.0,11PPR1022Z
-1.0,21PPR1117U
-1.0,19PPR0884Q
-1.0,30PPR0030Q
-1.0,07PPR0376H
-1.0,28PPR0209X
-1.0,30PPR3585I
-1.0,29PPR0036V
-1.0,08PPR0180V
-1.0,09PPR1404S
-1.0,16PPR0026K
-1.0,13PPR0004B
-1.0,02PPR0350E
-1.0,15PPR3391C
-1.0,16PPR0189V
-1.0,15PPR2630F
-1.0,10PPR0256I
-1.0,21PPR1039G
-1.0,15PPR7007S
-1.0,15PPR2123A
-1.0,08PPR1807M
-1.0,28PPR0236U
-1.0,15PPR3249O
-1.0,08PPR2102E
-1.0,21PPR0902D
-1.0,30PPR2373Z
-1.0,24PPR0339U
-1.0,21PPR0054S
-1.0,07PPR0524Z
-1.0,16PPR0277P
-1.0,09PPR1194D
-1.0,02PPR0188T
-2.0,21PPR0011U
-2.0,11PPR1038A
-2.0,14PPR0391J
-2.0,26PPR0103F
-2.0,21PPR0620W
-2.0,13PPR0257E
-2.0,21PPR0715J
-2.0,28PPR0349X
