Total,cct
27.0,03DPR0282S
27.0,03DPR0113X
23.0,03DPR0408I
23.0,03DPR0272L
21.0,03DPR0140U
21.0,03DPR0203P
21.0,03DPR0296V
21.0,03DZC0001Y
21.0,03DPR0260G
21.0,03DZC0021L
21.0,03DPR0109K
21.0,03DZC0022K
21.0,03DZC0023J
21.0,03DPR0275I
21.0,03DPR0014X
21.0,03DPR0307K
21.0,03DZC0014B
21.0,03DPR0181U
21.0,03DPR0202Q
20.0,03DPR0324A
19.0,03DPR0345N
19.0,03DZC0002X
19.0,03DPR0301Q
19.0,03DZC0019X
19.0,03DZC0015A
19.0,03DZC0010F
19.0,03DPR0336F
18.0,03DPR0209J
18.0,03DPR0232K
18.0,03DPR0168Z
18.0,03DPR0167A
17.0,03DPR0373J
17.0,03DZC0003W
17.0,03DPR0011Z
16.0,03DPR0158T
16.0,03DPR0278F
16.0,03DPR0423A
16.0,03DPR0156V
15.0,03EPR0046O
15.0,03DPR0106N
15.0,03DPR0329W
15.0,03EPR0039E
15.0,03EPR0062F
14.0,03DPR0142S
14.0,03DPR0114W
14.0,03DPR0362D
14.0,03DPR0207L
14.0,03DPR0227Z
14.0,03DPR0120G
14.0,03DPR0365A
14.0,03DPR0247M
14.0,03DPR0347L
14.0,03DPR0366Z
13.0,03DPR0312W
13.0,03DPR0402O
13.0,03DPR0352X
13.0,03EPR0057U
13.0,03DPR0391Z
13.0,03EPR0063E
13.0,03EPR0053Y
12.0,03DPR0132L
12.0,03DPR0173L
12.0,03DPR0175J
12.0,03DPR0230M
12.0,03DPR0285P
12.0,03DPR0350Z
11.0,03EPR0034J
11.0,03DPR0274J
11.0,03EPR0036H
11.0,03EPR0010Z
11.0,03EPR0006N
11.0,03DPR0001T
11.0,03EPR0061G
11.0,03EPR0047N
10.0,03DPR0300R
10.0,03DPR0174K
10.0,03DPR0015W
10.0,03DPR0428W
10.0,03DPR0349J
10.0,03DPR0266A
10.0,03DPR0151Z
10.0,03DPR0311X
9.0,03DPR0323B
9.0,03DPR0134J
9.0,03DPR0393X
9.0,03DPR0152Z
9.0,03DPR0436E
9.0,03EPR0024C
9.0,03EPR0044Q
9.0,03DPR0258S
9.0,03DPR0160H
9.0,03DPR0229X
9.0,03DPR0248L
9.0,03DPR0234I
8.0,03DPR0435F
8.0,03DPR0228Y
8.0,03DPR0139E
8.0,03DPR0237F
8.0,03EPR0058T
8.0,03DPR0426Y
8.0,03DPR0176I
8.0,03DPR0434G
8.0,03DPR0420D
8.0,03DPR0427X
8.0,03EPR0045P
7.0,03DPR0128Z
7.0,03DPR0214V
7.0,03DPR0291Z
7.0,03DPR0217S
7.0,03DPR0252Y
7.0,03EPR0060H
7.0,03EPR0035I
7.0,03EPR0032L
