Total,cct
2.0,02DPB0004Q
2.0,02DPB0085R
2.0,02DPB0084S
2.0,02DPB0003R
2.0,02DPB0070P
2.0,02DPB0083T
2.0,02DPB0072N
2.0,02DPB0079G
2.0,02DPB0032M
2.0,02DPB0081V
0.0,02DPB0073M
0.0,02DPB0080W
0.0,02DPB0071O
0.0,02DPB0061H
0.0,02DPB0021G
-1.0,02DPB0029Z
-2.0,02DPB0010A
-2.0,02DPB0082U
-3.0,02DPB0075K
-4.0,02DPB0047O
-4.0,02DPB0023E
-4.0,02DPB0043S
-4.0,02DPB0011Z
-5.0,02DPB0058U
-5.0,02DPB0067B
-5.0,02DPB0048N
-5.0,02DPB0078H
-6.0,02DPB0013Y
-6.0,02DPB0062G
-7.0,02DPB0065D
-7.0,02DPB0059T
-7.0,02DPB0001T
-8.0,02DPB0055X
-9.0,02DPB0069Z
-9.0,02DPB0068A
-9.0,02DPB0066C
-9.0,02DPB0064E
-9.0,02DPB0063F
-9.0,02DPB0053Z
-9.0,02DPB0087P
-9.0,02DPB0045Q
-9.0,02DPB0031N
-10.0,02DPB0008M
-10.0,02DPB0012Z
-10.0,02DPB0076J
-10.0,02DPB0041U
-10.0,02DPB0035J
-11.0,02DPB0050B
-11.0,02DPB0052Z
-12.0,02DPB0046P
-12.0,02DPB0037H
-12.0,02DPB0056W
-12.0,02DPB0028Z
-12.0,02DPB0024D
-12.0,02DPB0054Y
-12.0,02DPB0007N
-12.0,02DPB0060I
-13.0,02DPB0034K
-13.0,02DPB0033L
-13.0,02DPB0051A
-15.0,02DPB0044R
